generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
generation ID:,1
18,71,1,0,85,3,2,0,48,18,6,18,79,4,7,0,
55,6,26,3,68,3,11,8,58,25,6,1,16,6,50,18,
13,57,19,1,45,37,7,1,44,22,0,24,61,21,6,2,
68,9,10,3,67,5,10,8,80,9,0,1,70,18,0,2,
27,2,59,2,75,11,4,0,82,5,1,2,16,60,5,9,
3,65,4,18,40,5,15,30,14,71,3,2,13,51,2,24,
55,1,5,29,21,13,18,38,58,26,5,1,62,2,14,12,
4,23,57,6,58,0,10,22,49,32,8,1,28,35,26,1,
49,7,31,3,60,16,0,14,54,9,21,6,33,25,5,27,
61,6,21,2,72,9,5,4,36,28,22,4,7,80,0,3,
74,8,5,3,28,23,0,39,48,22,11,9,57,14,8,11,
24,5,61,0,87,2,1,0,65,24,1,0,56,21,11,2,
48,42,0,0,19,43,1,27,12,53,24,1,52,15,10,13,
90,0,0,0,42,17,25,6,87,2,1,0,53,27,10,0,
71,14,2,3,18,3,18,51,89,1,0,0,3,25,33,29,
14,24,8,44,12,36,11,31,48,35,4,3,88,2,0,0,
72,14,1,3,4,48,19,19,44,26,18,2,70,16,1,3,
84,5,1,0,1,66,7,16,39,6,31,14,22,32,10,26,
5,15,52,18,9,68,12,1,49,12,16,13,65,22,1,2,
9,51,5,25,39,17,10,24,69,0,17,4,36,6,44,4,
75,4,2,9,17,13,31,29,75,12,3,0,33,7,40,10,
64,13,8,5,68,15,6,1,17,29,32,12,16,67,2,5,
73,7,8,2,1,34,40,15,57,33,0,0,60,16,2,12,
60,8,18,4,57,15,17,1,36,2,23,29,57,33,0,0,
16,28,29,17,80,6,4,0,39,48,2,1,32,37,4,17,
54,9,21,6,43,29,6,12,5,58,25,2,27,36,9,18,
69,11,7,3,11,44,14,21,52,6,26,6,42,18,21,9,
15,73,0,2,9,69,7,5,81,3,2,4,24,63,2,1,
43,14,12,21,87,0,2,1,47,34,2,7,89,0,1,0,
67,17,6,0,52,19,18,1,27,35,0,28,61,2,4,23,
51,28,9,2,84,4,1,1,57,0,1,32,1,30,1,58,
80,10,0,0,39,6,40,5,81,6,1,2,27,58,0,5,
29,13,24,24,51,22,10,7,30,14,42,4,27,0,13,50,

generation ID:,1
13,7,62,8,43,34,12,1,31,12,12,35,6,43,23,18,
26,44,19,1,52,18,16,4,37,0,34,19,2,80,3,5,
58,13,3,16,68,22,0,0,77,3,0,10,35,40,6,9,
56,16,8,10,88,2,0,0,15,73,2,0,19,21,35,15,
51,25,7,7,13,49,18,10,45,8,29,8,13,3,49,25,
40,42,8,0,70,13,0,7,33,43,1,13,2,23,1,64,
50,14,11,15,15,28,33,14,72,6,6,6,49,27,0,14,
18,72,0,0,77,6,1,6,77,8,1,4,41,38,1,10,
40,38,9,3,28,34,16,12,38,49,2,1,2,51,8,29,
22,53,14,1,70,17,0,3,34,21,6,29,10,53,15,12,
48,33,0,9,27,51,8,4,74,7,3,6,38,45,6,1,
76,7,6,1,54,32,3,1,13,72,4,1,53,15,10,12,
82,2,0,6,46,17,18,9,69,12,7,2,4,52,0,34,
68,4,1,17,24,43,14,9,3,17,23,47,56,21,3,10,
54,33,0,3,70,15,1,4,88,2,0,0,58,20,7,5,
78,1,6,5,32,41,5,12,21,64,2,3,4,71,14,1,
56,1,21,12,31,28,8,23,44,26,1,19,68,0,3,19,
52,15,21,2,66,14,2,8,59,27,3,1,85,1,4,0,
12,67,1,10,63,10,0,17,49,21,20,0,79,0,0,11,
10,6,65,9,9,22,14,45,29,37,14,10,28,57,5,0,
21,50,9,10,22,51,10,7,17,56,4,13,18,69,3,0,
5,36,32,17,68,2,7,13,11,49,15,15,81,1,7,1,
75,5,4,6,82,1,0,7,16,17,18,39,79,0,2,9,
64,19,2,5,24,25,11,30,4,86,0,0,67,8,1,14,
61,9,0,20,44,25,10,11,3,45,32,10,42,8,36,4,
45,10,27,8,11,38,3,38,76,2,7,5,10,49,1,30,
5,39,18,28,55,28,4,3,6,10,47,27,16,45,17,12,
89,1,0,0,45,10,31,4,69,6,14,1,6,57,9,18,
44,41,2,3,59,16,9,6,68,21,1,0,31,41,17,1,
49,29,4,8,59,10,13,8,73,4,2,11,24,42,6,18,
8,80,1,1,84,6,0,0,1,40,22,27,90,0,0,0,
69,14,3,4,47,23,17,3,48,36,6,0,86,3,1,0,
60,20,4,6,48,14,7,21,2,45,34,9,86,1,2,1,
71,10,9,0,15,8,62,5,56,17,12,5,85,0,1,4,
4,74,6,6,35,24,9,22,34,28,1,27,37,8,33,12,
23,23,9,35,67,12,3,8,12,68,1,9,56,21,2,11,
48,7,22,13,24,15,45,6,21,1,63,5,27,19,7,37,
68,4,18,0,73,6,6,5,88,0,1,1,83,5,0,2,
3,29,3,55,6,44,22,18,17,17,50,6,26,39,21,4,
87,3,0,0,65,6,12,7,28,30,20,12,82,1,1,6,
63,21,2,4,59,10,7,14,62,0,22,6,42,16,15,17,
18,5,47,20,28,44,6,12,12,33,11,34,22,18,31,19,
16,53,8,13,72,3,5,10,18,10,17,45,65,6,11,8,
47,22,13,8,57,9,6,18,63,14,1,12,27,23,27,13,
78,4,3,5,86,2,1,1,62,20,6,2,57,0,10,23,
16,21,31,22,9,79,0,2,50,22,0,18,0,46,6,38,
36,26,10,18,30,41,5,14,66,19,5,0,29,4,21,36,
71,11,6,2,40,16,9,25,47,40,2,1,66,9,13,2,
24,36,16,14,26,1,5,58,62,28,0,0,30,28,13,19,
6,41,12,31,40,1,2,47,84,2,3,1,35,13,34,8,
49,33,2,6,34,27,16,13,54,28,5,3,77,5,6,2,
87,2,0,1,85,4,1,0,41,11,1,37,57,8,22,3,
77,3,5,5,10,45,23,12,8,67,9,6,49,30,11,0,
